Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0266,19.5719,Valid
TST-0198,22.0463,Valid
TST-0067,32.6605,Valid
TST-0102,21.7842,Valid
TST-0005,37.4358,Valid
TST-0003,28.6543,Valid
TST-0132,40.0833,Valid
TST-0029,26.3586,Valid
TST-0221,34.0159,Valid
TST-0099,17.6176,Valid
TST-0062,17.4029,Valid
TST-0095,26.7914,Valid
TST-0126,17.3412,Valid
TST-0034,49.9453,Valid
TST-0103,15.8395,Valid
TST-0245,23.0358,Valid
TST-0058,50.0415,Valid
TST-0065,26.4462,Valid
TST-0086,19.3952,Valid
TST-0342,20.5783,Valid
TST-0335,17.8484,Valid
TST-0180,18.3751,Invalid
TST-0294,24.8158,Invalid
TST-0072,20.5741,Valid
TST-0315,47.2648,Invalid
TST-0182,45.5062,Valid
TST-0200,21.6557,Valid
TST-0030,16.7522,Valid
TST-0193,16.6786,Valid
TST-0231,21.2906,Valid
TST-0128,27.3655,Valid
TST-0165,27.7914,Invalid
TST-0074,13.8106,Valid
TST-0004,34.241,Valid
TST-0157,23.5291,Valid
TST-0143,26.4604,Valid
TST-0179,41.9342,Valid
TST-0075,27.2719,Valid
TST-0233,23.8424,Valid
TST-0111,25.9901,Valid
TST-0350,21.5762,Valid
TST-0122,17.3939,Valid
TST-0076,21.9467,Valid
TST-0304,27.1971,Valid
TST-0190,28.4013,Valid
TST-0061,16.7193,Valid
TST-0009,27.8144,Valid
TST-0194,44.1346,Valid
TST-0156,15.4606,Invalid
TST-0088,32.5301,Valid
TST-0256,48.458,Valid
TST-0329,16.6042,Valid
TST-0219,42.424,Valid
TST-0306,13.796,Valid
TST-0324,22.101,Valid
TST-0113,21.9242,Valid
TST-0135,16.1622,Valid
TST-0339,17.5529,Valid
TST-0260,22.1439,Valid
TST-0195,26.6447,Valid
TST-0286,28.8717,Valid
TST-0015,25.4138,Valid
TST-0263,19.4583,Valid
TST-0147,24.7307,Valid
TST-0002,24.161,Invalid
TST-0114,45.534,Valid
TST-0271,26.8778,Invalid
TST-0223,22.1962,Valid
TST-0344,15.7785,Valid
TST-0183,32.0034,Valid
TST-0327,33.4941,Valid
TST-0250,20.2077,Invalid
TST-0185,38.9248,Valid
TST-0242,21.5968,Valid
TST-0158,12.9561,Valid
TST-0078,46.3057,Valid
TST-0120,22.0165,Invalid
TST-0093,30.0841,Valid
TST-0051,15.68,Valid
TST-0010,16.0176,Valid
TST-0013,51.8417,Valid
TST-0049,14.9916,Valid
TST-0041,17.74,Valid
TST-0055,31.6822,Valid
TST-0012,20.6284,Valid
TST-0127,48.7039,Valid
TST-0225,26.8504,Valid
TST-0050,23.6757,Valid
TST-0172,38.0595,Invalid
TST-0079,33.1769,Valid
TST-0046,21.4677,Valid
TST-0325,18.1604,Valid
TST-0280,20.7492,Valid
TST-0140,15.1707,Valid
TST-0244,47.2648,Invalid
TST-0203,20.9798,Valid
TST-0238,18.6385,Valid
TST-0092,28.6959,Valid
TST-0307,13.8968,Valid
TST-0176,27.7244,Valid
TST-0115,17.2748,Invalid
TST-0028,14.2356,Invalid
TST-0317,19.6591,Valid
TST-0251,38.3576,Valid
TST-0301,14.6387,Valid
TST-0116,36.8236,Valid
TST-0056,24.041,Valid
TST-0166,26.8587,Valid
TST-0247,33.2258,Valid
TST-0291,27.7736,Valid
TST-0167,29.9091,Invalid
TST-0313,47.7391,Valid
TST-0105,13.9964,Valid
TST-0104,20.9288,Valid
TST-0045,34.6459,Valid
TST-0289,42.9638,Valid
TST-0048,26.6368,Valid
TST-0110,18.5047,Valid
TST-0037,40.4571,Invalid
TST-0305,18.4426,Valid
TST-0240,32.7452,Valid
TST-0155,34.1516,Valid
TST-0119,53.518,Valid
TST-0295,23.6569,Valid
TST-0229,18.6868,Valid
TST-0106,21.4463,Valid
TST-0052,15.9465,Valid
TST-0276,21.6144,Invalid
TST-0216,21.996,Valid
TST-0208,20.6559,Valid
TST-0188,22.388,Valid
TST-0145,49.4413,Valid
TST-0039,21.8529,Valid
TST-0173,19.064,Valid
TST-0082,20.1532,Valid
TST-0296,36.5768,Valid
TST-0297,30.7651,Valid
TST-0125,17.5105,Valid
TST-0199,21.7564,Invalid
TST-0330,21.6255,Valid
TST-0133,35.5625,Valid
TST-0175,31.577,Valid
TST-0270,45.3457,Valid
TST-0255,16.791,Valid
TST-0025,13.4838,Valid
TST-0073,14.1062,Valid
TST-0077,20.3396,Valid
TST-0293,15.0117,Valid
TST-0212,34.2781,Invalid
TST-0081,14.1201,Valid
TST-0328,19.7643,Valid
TST-0290,49.808,Invalid
TST-0337,16.6651,Valid
TST-0171,23.2531,Valid
TST-0057,30.1006,Valid
TST-0284,19.3199,Valid
TST-0063,21.4141,Invalid
TST-0022,21.4628,Valid
TST-0044,17.3468,Valid
TST-0035,23.9764,Valid
TST-0258,44.3918,Invalid
TST-0334,27.1502,Valid
TST-0018,27.3464,Valid
TST-0321,21.5481,Valid
TST-0282,14.686,Valid
TST-0142,46.0176,Invalid
TST-0312,23.2043,Valid
TST-0101,22.1796,Valid
TST-0134,23.4286,Invalid
TST-0287,33.4623,Valid
TST-0153,32.0342,Valid
TST-0299,30.4702,Valid
TST-0204,23.6027,Invalid
TST-0090,19.8518,Valid
TST-0186,33.5781,Valid
TST-0209,49.8678,Valid
TST-0130,20.2333,Valid
TST-0224,22.7913,Valid
TST-0302,28.7281,Valid
TST-0118,15.5499,Valid
TST-0292,19.9064,Valid
TST-0345,21.9956,Invalid
TST-0108,24.4601,Valid
TST-0071,15.5626,Valid
TST-0053,16.111,Valid
TST-0273,17.0497,Valid
TST-0300,15.2485,Valid
TST-0148,19.0725,Valid
TST-0347,39.211,Valid
TST-0146,27.7914,Invalid
TST-0241,18.1915,Valid
TST-0096,16.3867,Valid
TST-0220,23.2092,Valid
TST-0174,23.1438,Valid
TST-0246,14.9829,Valid
TST-0136,18.8773,Valid
TST-0109,22.6689,Valid
TST-0040,38.9347,Valid
TST-0043,21.6679,Invalid
TST-0181,37.0226,Valid
TST-0268,17.2586,Valid
TST-0253,16.3661,Valid
TST-0017,25.1008,Valid
TST-0201,23.3297,Valid
TST-0129,16.8767,Valid
TST-0068,48.2972,Valid
TST-0161,14.9444,Valid
TST-0298,20.6938,Invalid
TST-0094,43.6631,Valid
TST-0336,27.7813,Invalid
TST-0149,19.6352,Valid
TST-0191,48.512,Valid
TST-0032,18.2342,Valid
TST-0054,16.4152,Valid
TST-0349,56.0275,Valid
TST-0100,18.0777,Valid
TST-0162,19.1873,Valid
TST-0326,23.1685,Invalid
TST-0340,19.8433,Valid
TST-0319,29.4919,Valid
TST-0064,18.9862,Valid
TST-0259,28.5539,Valid
TST-0066,43.9391,Valid
TST-0123,48.2166,Valid
TST-0218,20.6416,Valid
TST-0261,22.7912,Valid
TST-0196,20.6007,Valid
TST-0281,25.7155,Invalid
TST-0303,37.0023,Valid
TST-0254,23.042,Valid
TST-0322,18.4553,Valid
TST-0139,17.2484,Valid
TST-0257,37.8671,Valid
TST-0033,16.9086,Valid
TST-0112,50.134,Valid
TST-0021,25.2074,Valid
TST-0083,18.0218,Valid
TST-0150,24.7073,Valid
TST-0265,23.964,Valid
TST-0227,33.9313,Valid
TST-0170,24.5686,Valid
TST-0318,30.4421,Valid
TST-0097,16.5974,Valid
TST-0152,34.718,Valid
TST-0084,56.7454,Valid
TST-0124,17.038,Valid
TST-0098,33.3515,Valid
TST-0341,29.3676,Valid
TST-0042,31.8545,Valid
TST-0189,19.4815,Valid
TST-0285,23.1702,Valid
TST-0020,22.0552,Valid
TST-0314,43.9191,Valid
